osm_id,lat,lon,levels,height_tag,building_type,area_m2,perimeter_m,compactness,rectangularity,elongation,long_side_m,short_side_m,n_vertices,has_name,dsm_height_m
23494413,12.965836,77.576231,3,,commercial,9498.2,389.9,0.7853,0.9945,0.9784,98.8,96.7,4,1,
24328470,12.924038,77.665103,11,,residential,900.8,121.0,0.7731,0.9995,0.7775,34.0,26.5,5,1,
24328481,12.924155,77.665813,11,,residential,1342.4,167.6,0.6004,0.9517,0.6143,47.9,29.4,34,1,
24346316,12.924461,77.664791,11,,residential,769.4,112.0,0.7704,0.9996,0.7574,31.9,24.1,4,1,
24346359,12.924495,77.665111,11,,residential,686.4,106.0,0.7683,0.9998,0.7432,30.4,22.6,5,1,
24346383,12.924911,77.664745,11,,residential,1005.8,120.8,0.8657,0.9622,0.9841,32.6,32.1,8,1,
24346399,12.925383,77.665175,11,,residential,759.1,111.3,0.7703,0.9997,0.7564,31.7,24.0,5,1,
24346418,12.925335,77.664764,11,,residential,1026.5,128.2,0.7854,0.9996,0.9965,32.1,32.0,4,1,
24346452,12.925812,77.665175,11,,residential,647.7,104.8,0.7412,0.9996,0.6162,32.4,20.0,5,1,
24346472,12.924501,77.665919,11,,residential,600.4,103.8,0.7002,0.9995,0.5046,34.5,17.4,4,1,
24346494,12.924578,77.66567,11,,residential,615.4,105.1,0.6999,0.9995,0.504,35.0,17.6,4,1,
24346503,12.925027,77.665677,11,,residential,593.0,103.4,0.6966,0.9996,0.4969,34.6,17.2,4,1,
24346524,12.924968,77.665938,11,,residential,596.0,104.2,0.6904,1.0,0.4838,35.1,17.0,4,1,
24364974,12.903424,77.662355,3,,other,1101.9,145.2,0.6567,0.9977,0.4228,51.1,21.6,4,1,
24579528,12.917684,77.671155,4,,commercial,1569.1,173.3,0.6567,0.905,0.5611,55.6,31.2,8,1,
27554669,12.926185,77.665109,11,,residential,843.3,116.9,0.7752,0.9996,0.7954,32.6,25.9,5,1,
27554710,12.926191,77.664676,11,,residential,826.7,115.8,0.7749,0.9998,0.7929,32.3,25.6,4,1,
27554752,12.926584,77.66463,11,,residential,790.7,113.6,0.7705,0.9999,0.7576,32.3,24.5,4,1,
28126732,12.966712,77.611652,4,,commercial,2261.5,212.9,0.6272,0.8335,0.6409,65.1,41.7,12,1,
32316751,12.92836,77.632844,5,,commercial,1150.7,160.3,0.5626,0.9569,0.3019,63.1,19.1,4,0,
37931110,13.019132,77.563131,4,15.0,residential,4102.9,404.4,0.3153,0.7258,0.8411,82.0,69.0,23,1,
37931111,13.019165,77.562228,4,15.0,residential,4341.0,505.4,0.2136,0.5293,0.9315,93.8,87.4,31,1,
37947768,13.018394,77.569966,2,,civic,1550.9,210.7,0.4391,0.6114,0.5426,68.4,37.1,8,1,
37947999,13.023034,77.565835,2,8.0,civic,1552.6,262.6,0.283,0.723,0.5207,64.2,33.4,18,1,
37974511,13.013891,77.570312,4,,civic,868.3,121.0,0.745,0.9861,0.629,37.4,23.5,5,1,
38415415,13.029842,77.638113,5,,residential,323.9,72.8,0.7677,0.9981,0.7377,21.0,15.5,4,1,
38419730,13.021081,77.633325,4,,other,490.2,91.1,0.7428,0.9997,0.6222,28.1,17.5,4,1,
38968921,13.035175,77.532938,15,,residential,1786.2,213.5,0.4923,0.9991,0.2413,86.1,20.8,4,1,
38968923,13.035546,77.533042,15,,residential,1705.6,209.7,0.4873,1.0,0.2376,84.7,20.1,4,1,
38968924,13.036001,77.532989,15,,residential,1704.8,211.5,0.4789,0.999,0.2308,86.0,19.8,4,1,
38968925,13.036491,77.532879,15,,residential,1491.7,204.7,0.4475,0.9986,0.2075,84.8,17.6,4,1,
38968926,13.036731,77.532451,15,,residential,998.6,180.0,0.3872,0.8854,0.1885,77.3,14.6,4,1,
38968927,13.036925,77.531993,15,,residential,1611.6,207.1,0.4724,0.9992,0.2258,84.5,19.1,4,1,
38968928,13.037074,77.531286,15,,residential,3494.7,446.5,0.2203,0.574,0.8125,86.6,70.3,12,1,
38968930,13.035715,77.531963,15,,residential,3614.6,379.4,0.3156,0.4139,0.3775,152.1,57.4,8,1,
43469819,12.96683,77.610975,5,,commercial,773.6,116.2,0.7199,0.6226,0.8352,38.6,32.2,6,1,
46269187,12.925919,77.664741,11,,residential,1046.6,132.2,0.7526,0.9714,0.9372,33.9,31.8,21,1,
51188043,13.018225,77.562857,2,,residential,1307.2,238.8,0.2881,0.3022,0.9771,66.5,65.0,9,1,
51868683,12.983933,77.592844,4,,commercial,912.8,119.5,0.8027,0.9522,0.663,38.0,25.2,10,0,
51868684,12.982498,77.59446,5,,commercial,2071.9,223.0,0.5238,0.7286,0.5458,72.2,39.4,6,1,
51868687,12.988368,77.593708,4,,commercial,209.7,58.4,0.7731,0.9944,0.7738,16.5,12.8,4,1,
52032475,12.975326,77.596409,7,,other,2560.1,219.7,0.6664,0.9022,0.877,56.9,49.9,16,0,
52050272,12.973651,77.587918,4,,other,1904.5,232.1,0.4441,0.9993,0.2053,96.3,19.8,4,1,
52058543,12.981149,77.59523,6,30.0,other,2663.7,301.6,0.3679,0.4464,0.5821,101.2,58.9,15,1,
52059214,12.976525,77.598569,2,,other,439.3,76.3,0.9476,0.816,0.9833,23.4,23.0,8,0,
52060138,12.973652,77.596216,3,,commercial,3561.1,255.4,0.6863,0.8852,0.7664,72.5,55.5,8,1,
52060140,12.9717,77.59429,11,,commercial,602.7,105.7,0.6773,0.6879,0.6626,36.4,24.1,6,0,
52060141,12.973431,77.595507,5,,commercial,642.0,104.6,0.7372,0.7321,0.9913,29.7,29.5,4,1,
52060143,12.97356,77.595664,5,,other,243.9,88.0,0.3956,0.5312,0.4565,31.7,14.5,6,0,
52060144,12.974683,77.597049,18,,commercial,543.2,93.7,0.7779,0.9954,0.819,25.8,21.1,4,0,
52060147,12.975129,77.597647,5,,commercial,628.5,105.9,0.7041,0.9103,0.7556,30.2,22.8,8,0,
52060148,12.975566,77.598319,5,,commercial,723.0,109.8,0.7535,0.9958,0.6617,33.1,21.9,4,0,
52063151,12.980663,77.596311,7,,other,1762.3,205.5,0.5245,0.9983,0.2684,81.1,21.8,4,1,
52063152,12.980902,77.59644,2,,other,779.1,116.9,0.7167,0.9715,0.5299,38.9,20.6,5,1,
52063528,12.983532,77.59678,4,,commercial,1691.1,238.5,0.3735,0.4579,0.3587,101.5,36.4,9,1,
52244603,12.974599,77.585943,3,,civic,4915.4,848.5,0.0858,0.21,0.6082,196.2,119.3,15,0,
52244611,12.972213,77.582972,10,,commercial,1009.8,146.2,0.5938,0.9974,0.338,54.7,18.5,4,0,
52245577,12.978245,77.585007,5,,other,1155.5,230.8,0.2725,0.4367,0.283,96.7,27.4,8,0,
52245584,12.978932,77.587201,6,,other,597.7,139.8,0.3841,0.9235,0.1862,59.0,11.0,8,0,
52340474,12.986617,77.595725,2,,commercial,1711.8,168.8,0.7546,0.9348,0.6687,52.3,35.0,4,1,
52464021,13.003897,77.562991,4,,residential,687.6,114.2,0.6629,0.8617,0.7478,32.7,24.4,21,1,
79522886,12.992135,77.582013,8,,commercial,5137.0,392.5,0.419,0.6328,0.7567,103.6,78.4,26,0,
83070744,12.993722,77.705479,7,,commercial,4433.6,317.2,0.5536,0.7697,0.7598,87.1,66.2,13,1,
83070745,12.994628,77.70524,7,,commercial,5087.4,343.5,0.5418,0.6636,0.7888,98.6,77.8,12,1,
84747518,12.982335,77.718265,5,,residential,1827.8,228.4,0.4404,0.9064,0.2361,92.4,21.8,10,0,
85691873,12.926956,77.680409,9,,commercial,4004.3,261.7,0.7346,0.878,0.8139,74.9,60.9,12,1,
90298450,12.955237,77.712021,5,,residential,5989.5,419.5,0.4277,0.9993,0.1942,175.7,34.1,4,0,
90392195,12.989946,77.701874,19,,residential,1477.2,162.9,0.6996,0.9985,0.5026,54.3,27.3,4,1,
90631806,13.071877,77.580927,4,,other,709.6,131.8,0.5135,0.5995,0.8574,37.2,31.9,14,1,
90631811,13.071589,77.579311,2,,residential,475.9,106.1,0.5317,0.6999,0.6879,31.4,21.6,12,1,
90631814,13.07137,77.579398,2,,other,556.5,106.0,0.6229,0.6442,0.5117,41.1,21.0,7,1,
91003802,12.990871,77.730523,10,,commercial,14153.6,788.8,0.2859,0.3657,0.3468,334.1,115.8,40,1,
93180116,12.979737,77.751256,5,,residential,909.1,122.4,0.7629,0.998,0.7093,35.8,25.4,5,1,
93735404,12.992591,77.713252,5,,residential,1872.3,210.2,0.5324,0.8215,0.3007,87.1,26.2,5,0,
99726556,12.994737,77.731658,3,,industrial,1097.7,132.8,0.782,0.9984,0.8765,35.4,31.0,4,1,
105322101,12.951001,77.642125,6,,commercial,5876.8,318.8,0.7267,0.9065,0.5247,111.2,58.3,7,1,
105322105,12.949705,77.642733,7,,commercial,4296.3,276.9,0.7041,0.9183,0.7282,80.2,58.4,8,1,
105322114,12.949646,77.643263,3,,commercial,969.0,180.2,0.3751,0.8129,0.181,81.2,14.7,7,1,
105322121,12.950161,77.641598,5,,commercial,6458.8,423.0,0.4536,0.5188,0.4756,161.8,77.0,17,1,
105322134,12.950356,77.642759,6,,commercial,3915.2,258.7,0.7349,0.8341,0.6394,85.7,54.8,7,1,
105322136,12.949595,77.644804,4,,commercial,6318.6,358.1,0.6191,0.8379,0.6053,111.6,67.6,10,1,
105322151,12.948598,77.643567,4,,commercial,4976.2,283.8,0.7762,0.9221,0.9454,75.6,71.4,10,1,
105322155,12.950029,77.644142,4,,commercial,4992.4,283.3,0.7814,0.9861,0.8613,76.7,66.0,4,1,
105322158,12.951305,77.64062,6,,commercial,5050.0,353.8,0.5071,0.82,0.4106,122.5,50.3,26,1,
107240643,12.972515,77.59497,19,50.0,commercial,4277.3,294.8,0.6186,0.7497,0.5811,99.1,57.6,32,0,
107241566,12.973448,77.611259,5,,commercial,2119.4,196.1,0.6928,0.7898,0.6679,63.4,42.3,21,1,
111997549,12.970048,77.609634,6,,commercial,6939.3,356.7,0.6855,0.8786,0.789,100.1,78.9,10,1,
115596432,12.925375,77.666821,5,,residential,1517.1,171.8,0.6456,0.8423,0.7295,49.7,36.2,6,1,
115834975,12.96757,77.600045,7,,commercial,1176.5,178.6,0.4633,0.9981,0.219,73.4,16.1,5,1,
117154066,12.967493,77.711485,5,,residential,7637.9,693.7,0.1995,0.7762,0.4203,153.0,64.3,20,1,
117814682,12.963184,77.723692,6,,residential,1235.4,191.4,0.4237,0.9997,0.1914,80.3,15.4,4,1,
119123240,13.064834,77.638942,11,,residential,1631.3,218.3,0.43,0.6441,0.5488,67.9,37.3,12,1,
119123242,13.064057,77.638761,11,,residential,1631.5,218.3,0.4303,0.6446,0.552,67.7,37.4,12,1,
119123244,13.062302,77.638826,11,,residential,1619.2,211.6,0.4544,0.8229,0.4842,63.7,30.9,12,1,
119123245,13.063096,77.638947,11,,residential,1619.1,211.6,0.4543,0.8225,0.4845,63.7,30.9,12,1,
119924857,12.951177,77.644297,7,,commercial,4894.6,336.0,0.5449,0.8251,0.901,81.1,73.1,37,1,
119925779,12.952098,77.6441,8,,commercial,4084.2,267.9,0.715,0.8485,0.8114,77.0,62.5,8,1,
119925825,12.952928,77.643847,5,,commercial,3687.3,268.2,0.644,0.7724,0.7106,82.0,58.2,18,1,
119925850,12.953084,77.643209,5,,commercial,3729.8,262.8,0.6786,0.8894,0.6093,83.0,50.5,11,1,
120685037,13.063582,77.743199,20,,residential,1174.8,160.7,0.572,0.7262,0.9739,40.8,39.7,12,1,
120685038,13.064756,77.747037,20,,residential,653.8,129.9,0.4869,0.6198,0.9237,33.8,31.2,12,1,
120685039,13.064504,77.74686,20,,residential,653.5,129.9,0.487,0.6198,0.9238,33.8,31.2,12,1,
120685040,13.064253,77.746684,20,,residential,653.3,129.9,0.4867,0.6196,0.924,33.8,31.2,12,1,
120685041,13.063874,77.746075,20,,residential,1383.8,186.7,0.4987,0.6378,0.8724,49.9,43.5,12,1,
120685042,13.063865,77.74561,20,,residential,1382.1,186.4,0.5001,0.6392,0.8752,49.7,43.5,12,1,
120685043,13.063746,77.74486,20,,residential,1266.1,210.2,0.3602,0.6094,0.8353,49.9,41.7,24,1,
120685044,13.063713,77.744342,20,,residential,1253.1,222.8,0.3172,0.5794,0.8749,49.7,43.5,24,1,
120685045,13.062283,77.742003,20,,residential,1510.9,232.4,0.3515,0.6214,0.8545,53.3,45.6,32,1,
120685046,13.06389,77.743404,20,,residential,1174.6,160.6,0.572,0.7263,0.9735,40.8,39.7,12,1,
120685047,13.064827,77.743638,20,,residential,1338.1,229.4,0.3194,0.5418,0.8012,55.5,44.5,28,1,
120685048,13.06522,77.743968,20,,residential,1243.3,194.7,0.412,0.6129,0.9935,45.2,44.9,20,1,
120685049,13.065632,77.74421,20,,residential,1382.9,205.8,0.4102,0.6169,0.894,50.1,44.8,20,1,
120685050,13.065703,77.745161,20,,residential,1131.8,156.3,0.5822,0.7411,0.9136,40.9,37.4,12,1,
120685051,13.065569,77.745512,20,,residential,1174.8,160.7,0.5718,0.7267,0.9669,40.9,39.5,12,1,
120685052,13.065363,77.746171,20,,residential,1174.7,160.7,0.5719,0.7268,0.9667,40.9,39.5,12,1,
120685053,13.065226,77.746521,20,,residential,1174.7,160.7,0.5719,0.7268,0.9667,40.9,39.5,12,1,
121883114,12.989236,77.58803,2,,other,2007.0,270.3,0.3452,0.6145,0.7761,64.9,50.3,17,1,
121883117,12.989805,77.588046,2,,other,496.0,89.6,0.7769,0.9996,0.8108,24.7,20.1,5,0,
121983169,13.014843,77.709183,4,,residential,1146.9,135.5,0.7847,0.9987,0.9407,34.9,32.9,4,1,
122146916,12.962908,77.716634,4,,residential,1011.7,165.8,0.4626,0.9355,0.2429,66.7,16.2,6,1,
122278929,12.92832,77.668174,10,,residential,3477.0,734.6,0.081,0.3765,0.629,121.2,76.2,160,1,
122403375,12.986827,77.706625,10,,commercial,2645.1,271.3,0.4517,0.9996,0.2108,112.0,23.6,4,0,
122483866,12.983965,77.729536,4,,commercial,1965.0,185.2,0.7202,0.9708,0.5522,60.5,33.4,4,1,
122668437,12.974017,77.720868,5,,commercial,3656.5,252.0,0.7234,0.9975,0.5609,80.8,45.3,4,1,
122668439,12.97871,77.710622,4,,commercial,2494.4,211.2,0.7029,0.8965,0.9015,55.6,50.1,14,0,
122668444,12.979156,77.714175,6,,commercial,2709.3,210.5,0.7682,0.9756,0.9904,53.0,52.4,10,1,
122668458,12.978322,77.713273,6,,commercial,2628.6,204.0,0.7934,0.9206,0.9327,55.3,51.6,8,1,
122668466,12.981445,77.721138,4,,commercial,2505.7,259.5,0.4675,0.9589,0.2214,108.6,24.1,4,0,
122668470,12.973932,77.71857,7,,commercial,2799.4,216.1,0.7533,0.9927,0.6633,65.2,43.2,4,0,
122668481,12.979357,77.719841,2,,commercial,10801.8,411.0,0.8037,0.7398,0.9881,121.6,120.1,10,1,
122670792,12.976026,77.72214,2,,commercial,8343.7,466.3,0.4822,0.6838,0.7883,124.4,98.1,30,0,
122683279,12.956198,77.71704,3,,commercial,489.0,102.7,0.5829,0.9996,0.3263,38.7,12.6,4,1,
122683284,12.959644,77.716589,5,,commercial,1327.6,149.9,0.7425,0.8568,0.654,48.7,31.8,4,1,
122683285,12.956128,77.716606,5,,other,354.9,89.2,0.5605,0.9993,0.3029,34.2,10.4,4,0,
122683294,12.956532,77.717379,11,,residential,2160.4,443.6,0.1379,0.8122,0.2324,107.0,24.9,56,0,
122686457,12.969253,77.715611,7,,residential,893.4,154.0,0.4732,0.8626,0.4666,47.1,22.0,38,1,
122698398,12.963373,77.716847,4,,commercial,832.9,162.7,0.3954,0.9653,0.1821,68.8,12.5,12,0,
122701307,12.973778,77.728433,3,,commercial,3466.1,256.4,0.6625,0.8632,0.7335,74.0,54.3,8,1,
122701308,12.972819,77.716973,5,,commercial,2552.0,300.6,0.3549,0.5358,0.4149,107.1,44.5,13,0,
122701314,12.973935,77.727634,3,,commercial,3013.4,236.7,0.6758,0.8486,0.8507,64.6,55.0,8,1,
122701316,12.974397,77.728093,3,,commercial,2285.9,224.2,0.5714,0.8254,0.8401,57.4,48.2,9,1,
122738033,12.992478,77.702741,2,,commercial,2648.2,341.8,0.2849,0.9643,0.1174,153.0,18.0,9,1,
122899903,12.965737,77.718611,5,,commercial,317.5,77.1,0.6703,0.8261,0.9919,19.7,19.5,14,1,
122899907,12.963919,77.723243,6,,residential,907.0,144.5,0.5457,0.9992,0.2882,56.1,16.2,5,1,
123613245,12.96776,77.716677,3,,commercial,358.4,83.5,0.6466,0.9993,0.4078,29.7,12.1,4,0,
123613265,12.968068,77.716613,5,,other,394.8,96.4,0.5334,0.9523,0.2907,37.8,11.0,4,0,
124079081,12.947223,77.645728,3,,commercial,4614.1,366.4,0.4319,0.7685,0.3976,122.9,48.9,17,1,
124079084,12.946616,77.646201,4,,commercial,11230.0,461.2,0.6635,0.7873,0.8297,131.1,108.8,14,1,
124198275,12.975456,77.711373,6,,commercial,4190.7,264.0,0.7555,0.814,0.9049,75.4,68.3,8,0,
124198279,12.978884,77.714891,3,,commercial,2034.8,221.4,0.5215,0.5963,0.9518,59.9,57.0,17,1,
124316744,12.970478,77.604672,4,,other,1436.3,151.6,0.7854,0.9947,0.9907,38.2,37.8,4,1,
124394939,12.986286,77.733039,4,,commercial,5092.0,393.3,0.4136,0.4726,0.9763,105.1,102.6,17,0,
124394941,12.986965,77.736489,5,,commercial,6759.5,347.7,0.7027,0.9998,0.5099,115.1,58.7,9,1,
125111009,12.920425,77.676315,4,,residential,1868.2,236.8,0.4188,0.777,0.228,102.7,23.4,4,1,
125111010,12.917923,77.675274,4,,residential,1305.0,176.4,0.5273,0.9448,0.3002,67.8,20.4,12,1,
125111016,12.918905,77.675417,4,,residential,2527.0,296.2,0.362,0.9997,0.1532,128.5,19.7,4,1,
125111021,12.918952,77.672586,4,,residential,776.2,120.7,0.6699,0.9989,0.4451,41.8,18.6,4,1,
